item_id,name,description,category,base_price,return_policy
1061,Logitech M235 Wireless Mouse,Electronics product,Electronics,799.0,15 Days Return
1062,HP Wired Keyboard and Mouse,Electronics product,Electronics,1299.0,15 Days Return
1063,Realme Buds Wireless 2 Neo,Electronics product,Electronics,1499.0,7 Days Replacement
1064,Ambrane 10000mAh Powerbank,Electronics product,Electronics,999.0,7 Days Replacement
1065,Boult Audio Z40 True Wireless,Electronics product,Electronics,1199.0,7 Days Replacement
1066,Amazon Echo Dot (4th Gen),Electronics product,Electronics,3499.0,15 Days Return
1067,Fire TV Stick with Alexa,Electronics product,Electronics,3999.0,15 Days Return
1068,Kindle Paperwhite 16GB,Electronics product,Electronics,13999.0,15 Days Return
1069,Philips Trimmer QP2525,Electronics product,Electronics,1499.0,Non-Returnable
1070,Omron BP Monitor,Electronics product,Electronics,2150.0,Non-Returnable
1071,Prestige Svachh Pressure Cooker 3L,Home Appliances product,Home Appliances,1450.0,15 Days Return
1072,Bajaj Rex Mixer Grinder 500W,Home Appliances product,Home Appliances,2299.0,7 Days Replacement
1073,Havells Nicola Ceiling Fan,Home Appliances product,Home Appliances,2650.0,7 Days Replacement
1074,Voltas 1.5 Ton Split AC,Home Appliances product,Home Appliances,32990.0,7 Days Replacement
1075,Godrej 190L Single Door Refrigerator,Home Appliances product,Home Appliances,15490.0,7 Days Replacement
1076,Pigeon Induction Cooktop,Home Appliances product,Home Appliances,1699.0,15 Days Return
1077,LG 8 Kg Fully Automatic Washing Machine,Home Appliances product,Home Appliances,21990.0,7 Days Replacement
1078,Samsung 28L Convection Microwave,Home Appliances product,Home Appliances,12490.0,7 Days Replacement
1079,Philips Iron Box 1000W,Home Appliances product,Home Appliances,850.0,15 Days Return
1080,Usha Room Heater 2000W,Home Appliances product,Home Appliances,1499.0,7 Days Replacement
1081,Crompton Amica Water Heater 15L,Home Appliances product,Home Appliances,6599.0,7 Days Replacement
1082,Eureka Forbes Aquaguard Water Purifier,Home Appliances product,Home Appliances,14999.0,7 Days Replacement
1083,Kent Grand RO Water Purifier,Home Appliances product,Home Appliances,15500.0,7 Days Replacement
1084,Milton Thermosteel Flask 1L,Home Appliances product,Home Appliances,950.0,15 Days Return
1085,Cello Opalware Dinner Set 33pcs,Home Appliances product,Home Appliances,1899.0,15 Days Return
1086,Dyson V11 Absolute Vacuum Cleaner,Home Appliances product,Home Appliances,52900.0,15 Days Return
1087,IFB 20L Solo Microwave Oven,Home Appliances product,Home Appliances,6290.0,7 Days Replacement
1088,Whirlpool 240L Frost Free Refrigerator,Home Appliances product,Home Appliances,24990.0,7 Days Replacement
1089,Sony Bravia 55 inch 4K Ultra HD TV,Home Appliances product,Home Appliances,64990.0,7 Days Replacement
1090,Mi Smart TV 43 inch 4K,Home Appliances product,Home Appliances,25999.0,7 Days Replacement
